CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Complain,Satisfaction Score,Point Earned,Geography,Gender,Card Type,Exited
516,35,10,57369.61,1,1,1,101699.77,0,5,771,France,Male,PLATINUM,0
774,35,3,121418.62,1,1,1,24400.37,0,4,981,France,Female,DIAMOND,0
536,35,8,0.0,2,1,0,64833.28,0,2,345,France,Male,GOLD,0
602,42,6,158414.85,1,1,1,131886.46,0,5,807,Germany,Female,GOLD,0
741,29,8,0.0,2,1,1,115994.52,0,5,854,France,Male,PLATINUM,0
850,23,9,143054.85,1,0,1,62980.96,0,3,930,Spain,Female,PLATINUM,0
737,43,8,96353.8,1,0,0,10209.8,0,1,373,Germany,Male,DIAMOND,0
570,39,10,129674.89,2,1,0,80552.36,0,3,723,France,Male,DIAMOND,0
582,32,4,0.0,2,1,0,59668.81,0,4,727,France,Female,SILVER,0
536,28,4,0.0,1,1,1,136197.65,0,1,937,Spain,Female,PLATINUM,0
697,63,7,148368.02,1,0,0,118862.08,1,5,505,France,Male,DIAMOND,1
538,62,3,75051.49,1,0,0,17682.02,1,4,424,France,Female,GOLD,1
731,35,2,127862.93,2,1,0,139083.7,0,1,561,Germany,Male,PLATINUM,0
642,33,4,84607.34,2,0,1,60059.47,0,5,880,France,Female,GOLD,0
667,77,2,0.0,1,1,1,34702.92,0,4,965,Spain,Male,DIAMOND,0
767,36,3,139180.2,1,0,0,123880.19,0,2,277,France,Male,DIAMOND,0
625,43,4,122351.29,1,1,0,71216.6,0,4,936,France,Male,GOLD,0
593,38,5,142658.04,2,0,1,135337.11,0,1,698,Germany,Female,GOLD,0
655,72,5,138089.97,2,1,1,99920.41,0,3,766,Germany,Female,GOLD,0
706,29,5,112564.62,1,1,0,42334.38,0,5,819,France,Female,PLATINUM,0
705,32,3,0.0,2,0,0,129576.99,0,2,789,France,Male,DIAMOND,0
650,33,0,98064.97,1,1,0,52411.99,0,1,262,France,Male,GOLD,0
850,55,6,0.0,1,1,0,944.41,1,1,583,France,Male,DIAMOND,1
694,38,5,195926.39,1,1,1,85522.84,0,1,270,France,Female,DIAMOND,0
679,38,7,110555.37,2,1,0,46522.68,0,4,320,Germany,Male,GOLD,0
849,69,7,71996.09,1,1,1,139065.94,0,2,317,France,Male,GOLD,0
591,46,4,129269.27,1,1,0,163504.33,0,1,290,Germany,Male,GOLD,0
724,45,5,83888.54,1,0,1,34121.81,0,3,559,Spain,Male,SILVER,0
806,34,5,113958.55,1,0,1,32125.98,0,3,873,France,Male,DIAMOND,0
588,64,3,0.0,1,1,1,189703.65,0,4,286,France,Female,SILVER,0
524,32,6,0.0,1,1,1,132861.9,1,4,373,Spain,Female,PLATINUM,1
591,39,8,0.0,2,0,0,42392.24,0,1,302,Spain,Male,GOLD,0
773,34,10,126979.75,1,0,0,36823.28,0,1,977,Germany,Male,PLATINUM,0
800,60,6,88541.57,2,1,1,131718.12,0,1,577,France,Male,SILVER,0
532,24,8,142755.25,1,0,0,34231.48,0,1,699,Germany,Male,DIAMOND,0
705,39,6,133261.13,1,1,1,78065.9,0,4,344,Spain,Male,GOLD,0
808,67,10,124577.15,1,0,1,169894.4,0,5,259,Spain,Female,GOLD,0
540,44,3,164113.04,2,1,1,12120.79,0,5,778,Germany,Male,SILVER,0
641,40,2,110086.69,1,1,0,159773.14,0,4,413,Germany,Female,DIAMOND,0
666,36,4,120165.4,2,1,0,33701.5,0,4,617,France,Male,GOLD,0
667,40,9,0.0,1,1,1,96670.2,0,3,879,France,Male,GOLD,0
635,27,3,127009.83,1,1,0,161909.95,0,1,686,France,Male,GOLD,0
729,39,1,131513.26,1,1,1,193715.0,0,1,751,Germany,Female,PLATINUM,0
600,40,1,141136.79,1,1,1,67803.83,0,5,851,France,Male,SILVER,0
637,60,3,0.0,2,1,1,70174.03,0,3,230,France,Male,PLATINUM,0
608,33,1,102772.67,2,1,0,70705.58,0,4,301,Germany,Male,DIAMOND,0
446,45,10,125191.69,1,1,1,128260.86,1,5,584,Spain,Female,SILVER,1
654,32,9,121455.65,1,1,0,190068.53,1,2,295,France,Male,GOLD,1
693,34,10,107556.06,2,0,0,154631.35,0,5,711,Spain,Female,DIAMOND,0
850,58,8,156652.13,1,0,0,25899.21,1,3,451,France,Male,PLATINUM,1
529,29,4,135759.4,1,0,0,112813.79,1,1,674,Germany,Male,GOLD,1
639,37,5,151242.48,1,0,1,49637.65,0,3,776,Germany,Female,GOLD,0
647,43,3,122717.53,2,1,1,87000.39,0,2,323,Germany,Female,PLATINUM,0
532,37,5,0.0,2,0,1,6761.84,0,5,527,Spain,Female,DIAMOND,0
850,40,6,0.0,1,1,0,136985.08,1,1,268,France,Male,DIAMOND,1
752,35,2,0.0,1,1,0,44335.54,1,4,309,Spain,Female,PLATINUM,1
645,36,4,59893.85,2,1,0,43999.64,0,5,420,Spain,Male,DIAMOND,0
695,28,0,96020.86,1,1,1,57992.49,0,2,865,Spain,Male,SILVER,0
659,39,8,106259.63,2,1,1,198103.32,0,3,296,Germany,Male,PLATINUM,0
618,29,10,100315.1,2,1,1,32526.64,0,1,812,Germany,Female,SILVER,0
548,38,0,178056.54,2,1,0,38434.73,0,5,427,Spain,Male,SILVER,0
525,26,7,153644.39,1,1,1,63197.88,0,1,988,France,Male,SILVER,0
708,32,3,151691.44,2,1,1,172810.51,0,5,463,Germany,Male,SILVER,0
634,48,2,107247.69,1,1,1,103712.05,1,5,674,Germany,Male,GOLD,1
619,52,8,124099.13,1,0,0,23904.52,0,1,621,Germany,Female,SILVER,0
523,73,7,0.0,2,0,0,130883.9,1,5,566,France,Female,DIAMOND,1
571,40,5,0.0,2,0,0,72849.29,0,2,557,France,Male,SILVER,0
666,37,2,158468.76,1,0,1,93266.01,0,3,630,Germany,Female,DIAMOND,0
573,56,3,154669.77,1,0,1,115462.27,1,5,454,Spain,Male,SILVER,1
618,42,2,0.0,4,0,0,111097.39,1,5,398,France,Female,PLATINUM,1
641,35,5,0.0,2,1,0,93148.93,0,4,747,France,Male,GOLD,0
745,25,5,157993.15,2,1,0,146041.45,0,1,395,France,Male,SILVER,0
631,37,8,138292.64,2,0,0,152422.91,1,3,647,Germany,Male,DIAMOND,1
723,40,7,142856.95,2,0,0,38019.74,0,5,522,France,Female,PLATINUM,0
520,46,10,85216.61,1,1,0,117369.52,1,1,669,France,Female,GOLD,1
614,38,2,116248.88,1,1,0,105140.92,0,3,762,France,Male,DIAMOND,0
647,44,4,93960.35,1,1,0,36579.53,1,2,417,Germany,Male,SILVER,1
734,43,3,55853.33,2,0,1,94811.85,1,1,263,Spain,Female,PLATINUM,1
598,59,8,118210.42,2,0,0,60192.14,1,4,622,Germany,Male,DIAMOND,1
650,23,4,93911.3,2,1,0,69055.45,0,5,774,Germany,Male,PLATINUM,0
562,33,8,92659.2,2,1,0,1354.25,0,2,374,Germany,Male,GOLD,0
548,33,6,0.0,1,1,1,31728.35,0,4,855,Spain,Male,GOLD,0
656,39,6,0.0,2,1,0,141069.88,0,4,638,France,Female,DIAMOND,0
754,55,3,161608.81,1,1,0,8080.85,1,4,810,Germany,Female,GOLD,1
713,42,0,109121.71,1,0,1,167873.49,0,5,872,Spain,Male,GOLD,0
850,36,6,143644.16,1,1,0,22102.25,1,3,728,Germany,Female,PLATINUM,1
713,38,6,116980.78,2,0,1,76038.38,0,3,503,Spain,Male,GOLD,0
710,22,8,0.0,3,1,0,107292.91,0,4,565,Spain,Male,DIAMOND,0
794,62,9,123681.32,3,1,0,173586.63,1,5,247,France,Female,SILVER,1
700,54,1,79415.67,1,0,1,139735.54,0,5,546,Spain,Male,PLATINUM,0
676,33,6,171490.78,1,0,0,79099.64,0,3,248,France,Male,GOLD,0
661,32,1,145980.23,1,0,1,56636.28,0,3,883,Germany,Female,DIAMOND,0
608,40,8,121729.42,1,0,0,61164.45,0,4,802,Germany,Female,DIAMOND,0
766,28,3,62717.84,2,1,1,13182.43,0,1,808,Germany,Female,GOLD,0
688,29,9,144553.5,2,1,0,143454.95,0,4,270,Germany,Male,SILVER,0
764,33,9,168964.77,1,0,1,118982.51,0,2,915,Spain,Female,GOLD,0
800,40,3,75893.11,2,1,0,132562.23,0,5,513,France,Female,PLATINUM,0
465,33,8,0.0,2,1,0,177668.55,0,4,507,France,Male,DIAMOND,0
635,34,5,98683.47,2,1,0,15733.19,0,3,558,Spain,Female,SILVER,0
759,33,2,0.0,2,1,0,56583.88,0,1,428,France,Female,SILVER,0
850,43,8,92244.83,2,1,0,54949.73,0,2,304,Germany,Female,PLATINUM,0
728,43,5,0.0,1,1,1,120088.17,0,5,924,Spain,Female,GOLD,0
667,24,4,0.0,2,0,1,34335.55,0,5,560,France,Female,DIAMOND,0
664,32,5,133705.74,1,0,0,134455.84,0,1,977,Spain,Male,SILVER,0
651,35,7,74623.5,3,1,0,129451.29,1,2,515,France,Male,SILVER,1
453,28,3,139986.65,1,1,0,136846.75,0,2,816,Germany,Female,GOLD,0
735,46,2,106344.95,1,1,0,114371.33,1,4,287,Germany,Male,DIAMOND,1
713,44,1,63438.91,1,1,0,64375.4,0,5,658,France,Male,GOLD,0
646,30,5,98014.74,1,1,1,12757.14,0,4,329,France,Male,PLATINUM,0
627,23,5,184244.86,1,1,0,103099.22,0,2,971,Germany,Male,SILVER,0
654,29,2,91955.61,1,1,0,37065.66,0,2,375,France,Male,DIAMOND,0
816,40,9,109003.26,1,1,1,79580.56,0,1,592,Germany,Female,DIAMOND,0
692,43,10,118588.83,1,1,1,161241.65,1,5,443,Germany,Female,DIAMOND,1
756,34,1,103133.26,1,1,1,90059.04,0,4,527,France,Male,SILVER,0
501,42,9,114631.23,1,0,1,91429.74,0,4,450,France,Male,SILVER,0
775,45,8,0.0,1,1,0,130376.68,0,4,805,France,Male,DIAMOND,0
648,40,5,139973.65,1,1,1,667.66,1,2,579,Germany,Female,GOLD,1
660,28,1,118402.25,2,1,0,14288.93,0,1,965,Germany,Male,PLATINUM,0
492,38,8,57068.43,2,1,0,188974.81,0,3,914,Germany,Female,PLATINUM,0
683,49,7,108797.63,2,0,0,140763.18,0,3,820,Germany,Female,SILVER,0
773,41,4,0.0,2,1,1,24924.92,0,2,667,France,Male,PLATINUM,0
624,27,9,94667.29,2,0,1,4470.52,0,1,958,Germany,Male,PLATINUM,0
590,51,3,154962.99,3,0,1,191932.27,1,1,759,Spain,Female,SILVER,1
667,56,8,137464.04,1,1,0,130846.79,1,3,235,Germany,Female,PLATINUM,1
747,32,5,67495.04,2,0,1,77370.37,0,4,885,Germany,Female,PLATINUM,0
671,42,3,0.0,2,1,1,128449.33,0,2,931,Spain,Female,DIAMOND,0
727,31,10,96997.09,2,0,0,76614.04,0,2,550,Spain,Female,DIAMOND,0
803,40,6,165526.71,1,1,0,12328.08,0,3,880,France,Female,SILVER,0
850,35,6,81684.97,1,1,0,824.0,0,5,576,France,Female,SILVER,0
714,26,9,89928.99,1,1,0,46203.31,0,5,675,France,Female,DIAMOND,0
766,44,3,116822.7,1,0,0,197643.24,0,1,544,Germany,Male,PLATINUM,0
805,24,6,143221.35,2,1,0,186035.72,0,5,545,Germany,Male,DIAMOND,0
665,63,7,104469.58,1,1,1,25165.36,1,2,941,Germany,Male,PLATINUM,1
601,48,8,120782.7,1,1,0,63940.68,1,2,587,Germany,Female,DIAMOND,1
692,49,6,110540.43,2,0,1,107472.99,0,1,891,Germany,Male,PLATINUM,0
694,31,10,0.0,2,1,0,160990.27,0,3,673,France,Female,SILVER,0
550,30,4,0.0,2,1,0,89216.29,0,3,484,France,Female,GOLD,0
715,31,7,0.0,1,1,1,149970.59,0,1,707,Spain,Male,PLATINUM,0
496,32,4,127845.83,1,1,0,66469.2,0,4,512,France,Male,SILVER,0
669,30,7,139872.81,1,1,0,188795.85,0,3,302,Germany,Female,SILVER,0
708,64,5,0.0,3,0,1,112520.07,1,2,465,Spain,Female,PLATINUM,1
607,25,3,0.0,2,0,0,187048.72,0,3,624,France,Male,DIAMOND,0
660,31,6,172325.67,1,0,1,45438.38,0,4,223,France,Female,PLATINUM,0
697,76,7,0.0,2,0,1,188772.45,0,3,733,France,Female,DIAMOND,0
431,37,0,120764.08,1,1,1,117023.08,0,2,389,France,Male,SILVER,0
850,39,6,206014.94,2,0,1,42774.84,1,5,748,Spain,Male,PLATINUM,1
533,35,8,0.0,2,1,1,187900.12,0,3,558,France,Female,PLATINUM,0
505,37,6,159863.9,2,0,1,125307.87,0,1,421,Germany,Female,GOLD,0
641,37,7,0.0,2,1,0,75248.3,0,2,516,France,Male,PLATINUM,0
648,42,4,0.0,2,1,0,19283.14,0,2,759,France,Male,GOLD,0
779,29,3,46388.16,3,1,0,127939.26,1,3,922,France,Female,DIAMOND,1
583,27,4,0.0,3,1,0,163113.41,0,1,484,France,Female,DIAMOND,0
640,43,9,94752.49,1,1,0,184006.36,1,4,523,Germany,Female,DIAMOND,1
707,73,6,66573.17,1,1,1,62768.8,0,3,884,France,Male,GOLD,0
652,45,2,151421.44,1,0,1,115333.43,0,2,388,Germany,Male,GOLD,0
724,40,6,110054.45,1,1,1,86950.72,0,2,680,France,Female,SILVER,0
758,35,7,0.0,2,1,0,77951.84,0,3,560,France,Male,DIAMOND,0
580,44,9,143391.07,1,0,0,146891.07,1,4,567,Germany,Male,GOLD,1
586,60,3,47020.65,2,0,1,63241.21,1,3,850,France,Female,PLATINUM,1
639,32,9,0.0,2,1,0,111340.36,0,4,846,France,Male,GOLD,0
749,38,9,129378.32,1,1,1,13549.34,0,4,633,Spain,Male,DIAMOND,0
714,39,3,149887.49,2,1,0,63846.36,0,4,235,Germany,Male,SILVER,0
644,31,5,86006.3,1,1,1,73922.95,0,2,274,Spain,Female,SILVER,0
611,53,7,0.0,2,0,1,156495.39,1,1,843,France,Female,GOLD,1
743,45,10,144677.19,3,1,0,22512.44,1,3,471,Germany,Male,GOLD,1
606,36,10,0.0,2,0,1,155641.46,0,2,813,France,Female,SILVER,0
661,33,9,0.0,2,1,1,84174.81,0,2,873,France,Male,DIAMOND,0
508,31,7,0.0,2,1,1,6123.15,0,4,573,France,Female,GOLD,0
782,42,7,126428.38,1,1,0,39830.1,0,1,367,Germany,Male,GOLD,0
477,31,9,0.0,2,0,1,184061.17,0,1,295,Spain,Male,SILVER,0
583,27,1,125406.58,1,1,1,110784.42,0,1,992,France,Female,PLATINUM,0
612,32,9,106520.73,2,1,0,177092.16,0,3,821,Germany,Male,GOLD,0
510,30,0,0.0,2,1,1,130553.47,0,2,430,France,Female,DIAMOND,0
540,39,1,0.0,1,0,1,108419.41,0,2,727,Spain,Male,DIAMOND,0
624,55,7,118793.6,1,1,1,95022.02,1,4,503,France,Male,DIAMOND,1
445,30,3,0.0,2,1,1,127939.19,0,2,842,France,Female,PLATINUM,0
688,26,1,0.0,2,1,1,104435.94,0,2,381,France,Male,PLATINUM,0
726,38,5,126875.62,1,1,0,128052.29,0,2,514,France,Female,PLATINUM,0
556,30,7,0.0,2,1,1,186648.19,0,3,356,France,Female,GOLD,0
814,31,6,87772.52,1,1,0,188516.45,0,3,870,France,Female,SILVER,0
564,33,4,135946.26,1,1,0,63170.0,0,3,696,France,Female,DIAMOND,0
802,41,5,0.0,2,1,1,134626.3,0,2,349,Spain,Male,PLATINUM,0
665,41,8,96147.55,1,1,0,137037.97,0,3,280,France,Female,PLATINUM,0
781,29,6,98759.89,1,0,0,112202.64,0,2,494,Spain,Female,GOLD,0
808,45,7,118626.55,2,1,0,147132.46,0,1,559,France,Male,SILVER,0
733,39,5,91538.51,1,1,1,93783.0,0,3,336,Germany,Male,PLATINUM,0
802,37,9,115569.21,1,0,1,119782.89,0,1,927,Germany,Male,GOLD,0
560,44,5,143244.97,1,1,0,98661.27,0,5,768,France,Female,DIAMOND,0
649,39,3,113096.41,1,1,1,60335.24,0,5,946,France,Male,PLATINUM,0
582,26,4,65848.36,2,1,0,30149.21,0,1,518,Spain,Male,SILVER,0
680,32,7,175454.0,1,0,1,77349.92,0,2,772,Germany,Male,PLATINUM,0
519,57,2,119035.35,2,1,1,29871.79,0,3,689,Spain,Female,SILVER,0
740,37,5,0.0,2,1,1,27528.4,0,5,798,France,Female,PLATINUM,0
811,44,3,0.0,2,0,1,78439.73,0,5,859,Spain,Male,PLATINUM,0
544,22,3,66483.32,1,0,1,110317.39,0,2,370,Spain,Male,SILVER,0
651,36,8,0.0,2,1,0,91652.43,0,3,823,Spain,Female,SILVER,0
805,26,2,0.0,2,1,1,25042.1,0,1,387,Spain,Male,SILVER,0
545,55,5,0.0,1,0,0,10034.77,1,5,524,France,Female,DIAMOND,1
606,65,10,126306.64,3,0,0,7861.68,1,5,591,Germany,Male,DIAMOND,1
700,37,1,135179.49,1,1,0,160670.37,0,3,700,France,Male,SILVER,0
792,59,9,101609.77,1,0,0,161479.19,1,5,779,Germany,Female,DIAMOND,1
706,44,2,185932.18,2,1,0,65413.41,0,5,536,Germany,Female,GOLD,0
686,39,4,0.0,2,1,0,155023.93,0,4,977,France,Male,DIAMOND,0
764,24,0,0.0,2,1,0,88724.49,0,3,470,France,Female,GOLD,0
677,37,3,0.0,2,1,1,38252.25,0,3,654,France,Female,PLATINUM,0
734,54,3,0.0,1,1,0,130805.54,1,4,505,France,Female,SILVER,1
518,46,3,0.0,2,1,0,76515.79,0,2,583,France,Male,PLATINUM,0
507,36,9,118214.32,3,1,0,119110.03,1,3,447,Germany,Male,GOLD,1
706,32,5,88348.43,2,1,1,104181.78,0,2,641,Germany,Male,SILVER,0
652,35,7,104015.54,2,1,1,55207.88,0,1,926,Germany,Male,PLATINUM,0
773,52,2,0.0,2,1,0,57337.79,0,5,607,Spain,Male,PLATINUM,0
765,36,8,92310.54,2,1,1,72924.56,0,3,547,Germany,Male,DIAMOND,0
427,33,8,0.0,1,1,1,13858.95,0,4,959,France,Male,SILVER,0
545,45,6,93796.42,2,1,1,162321.26,0,3,577,Germany,Male,GOLD,0
711,41,3,145754.91,1,1,1,101455.07,0,3,244,France,Female,PLATINUM,0
694,60,9,0.0,1,1,1,57088.97,0,4,647,France,Male,GOLD,0
535,48,9,0.0,1,1,0,149892.79,1,4,697,France,Female,GOLD,1
644,26,4,153455.72,2,1,1,82696.84,0,5,944,Spain,Female,PLATINUM,0
796,45,2,109730.22,1,1,1,123882.73,0,2,267,France,Female,DIAMOND,0
608,27,4,153325.1,1,1,1,199953.33,0,3,778,Spain,Male,SILVER,0
567,39,5,0.0,2,0,0,168521.72,0,3,709,France,Male,GOLD,0
796,41,8,107525.07,1,1,0,18510.41,0,2,606,Spain,Male,SILVER,0
696,43,4,0.0,2,1,1,66406.37,0,4,678,Spain,Female,DIAMOND,0
615,41,9,109013.23,1,1,0,196499.96,0,1,561,Spain,Female,PLATINUM,0
648,23,9,168372.52,1,1,0,134676.72,0,4,883,France,Male,DIAMOND,0
564,48,5,132876.23,1,1,0,79259.77,0,1,741,Spain,Male,DIAMOND,0
715,21,6,76467.16,1,1,1,173511.72,0,4,995,France,Male,GOLD,0
689,46,7,52016.08,2,1,1,72993.65,0,3,384,France,Female,DIAMOND,0
660,33,0,72783.42,1,0,0,181051.99,0,1,553,France,Male,PLATINUM,0
559,38,8,95139.41,1,1,1,86575.46,0,4,286,France,Female,PLATINUM,0
678,22,4,174852.89,1,1,1,28149.06,0,3,333,France,Female,PLATINUM,0
621,59,2,0.0,2,1,1,171364.18,0,4,740,Spain,Female,PLATINUM,0
650,35,3,165982.43,2,1,1,24482.16,0,2,306,Germany,Female,PLATINUM,0
534,35,4,0.0,2,0,0,9541.15,0,2,784,Spain,Male,PLATINUM,0
529,39,2,82766.43,1,1,1,122925.44,0,3,574,Spain,Female,GOLD,0
653,47,6,0.0,1,1,0,50695.93,1,2,622,France,Male,SILVER,1
680,27,3,0.0,1,1,0,32454.26,0,3,875,France,Male,DIAMOND,0
542,59,2,68892.77,2,1,0,7905.06,1,5,442,France,Female,DIAMOND,1
707,48,8,88441.64,1,1,1,119903.2,1,2,244,Spain,Male,DIAMOND,1
628,40,5,181768.32,2,1,1,129107.97,0,2,307,Germany,Male,SILVER,0
829,28,3,132405.52,3,1,0,104889.2,1,1,536,Germany,Male,PLATINUM,1
745,28,6,0.0,2,1,0,154389.18,0,4,649,France,Female,SILVER,0
555,50,7,128061.0,2,1,1,62375.1,0,4,977,Spain,Male,GOLD,0
516,45,4,0.0,1,1,0,95273.73,1,5,255,France,Female,SILVER,1
486,40,9,71340.09,1,1,0,76192.21,0,4,530,Germany,Female,PLATINUM,0
699,54,3,111009.32,1,1,1,155905.79,1,5,241,Germany,Female,DIAMOND,1
527,28,6,128396.33,2,1,0,79919.97,0,5,882,Spain,Male,SILVER,0
789,53,1,158271.74,1,1,1,5036.39,1,1,296,France,Female,SILVER,1
492,39,10,124576.65,2,1,0,148584.61,0,5,560,Germany,Male,GOLD,0
722,34,8,0.0,2,1,1,133447.49,0,1,523,France,Male,DIAMOND,0
665,40,6,0.0,1,1,1,161848.03,0,2,651,France,Female,SILVER,0
546,25,3,132837.7,1,1,0,131647.31,0,3,440,Germany,Female,PLATINUM,0
572,38,7,0.0,2,1,1,133122.62,0,1,739,France,Female,PLATINUM,0
719,28,3,106070.29,2,1,1,183893.31,0,3,802,Germany,Male,GOLD,0
594,56,7,0.0,1,1,0,26215.85,1,5,709,France,Female,SILVER,1
702,40,1,103549.24,1,0,0,9712.52,1,3,804,France,Female,DIAMOND,1
758,40,3,0.0,2,0,0,96097.65,0,1,864,Spain,Male,DIAMOND,0
760,34,6,58003.41,1,1,0,90346.1,0,5,785,Germany,Female,SILVER,0
678,31,1,0.0,2,0,1,130446.65,0,2,246,France,Female,GOLD,0
545,30,3,0.0,2,1,0,170307.43,0,4,396,France,Male,PLATINUM,0
611,29,4,78885.88,2,1,1,26927.69,0,3,914,Germany,Female,SILVER,0
563,34,6,0.0,2,0,0,36536.93,0,1,256,France,Female,GOLD,0
462,27,4,176913.52,1,1,0,80587.27,0,2,513,France,Male,SILVER,0
757,23,2,80673.96,2,1,0,93991.65,0,5,277,France,Male,DIAMOND,0
806,32,3,63763.49,1,1,0,156593.09,0,1,411,France,Female,GOLD,0
640,37,5,158024.38,1,1,0,81298.09,0,1,749,Spain,Male,GOLD,0
720,38,10,0.0,2,1,1,56229.72,1,2,966,France,Female,GOLD,1
850,39,7,79259.99,1,0,1,186910.74,0,1,976,France,Female,DIAMOND,0
673,40,1,121629.22,1,1,1,3258.6,0,3,313,Spain,Male,DIAMOND,0
589,31,10,110635.32,1,1,0,148218.86,0,5,728,France,Female,SILVER,0
438,60,7,78391.17,1,0,1,49424.6,0,4,262,France,Male,GOLD,0
705,46,4,115518.07,1,0,0,76544.9,1,3,576,Germany,Female,PLATINUM,1
813,29,5,106059.4,1,0,0,187976.88,1,5,331,Germany,Female,GOLD,1
681,37,8,73179.34,2,1,1,25292.53,0,4,242,Germany,Male,GOLD,0
642,49,4,120688.61,1,1,0,24770.22,1,1,641,Germany,Male,GOLD,1
612,31,8,117989.76,1,1,1,54129.86,0,4,409,France,Female,SILVER,0
586,33,9,0.0,1,1,0,6975.02,0,5,871,France,Male,DIAMOND,0
477,57,9,114023.64,2,1,1,71167.17,1,3,523,France,Female,GOLD,1
701,33,9,147510.34,1,1,0,190611.92,0,5,228,France,Male,DIAMOND,0
671,30,2,0.0,1,0,1,102057.86,0,3,743,France,Male,PLATINUM,0
643,41,2,127841.52,1,1,0,172363.41,0,5,474,Germany,Male,GOLD,0
751,37,9,183613.66,2,0,0,49734.94,0,3,563,France,Female,SILVER,0
640,31,9,138857.59,1,1,0,48640.77,0,1,686,France,Female,SILVER,0
850,27,7,43658.33,2,1,1,3025.49,0,4,585,France,Female,PLATINUM,0
475,39,6,0.0,1,1,1,56999.9,1,1,388,France,Male,GOLD,1
597,35,8,131101.04,1,1,1,192852.67,0,3,758,Germany,Female,SILVER,0
567,40,7,122265.24,1,1,0,138552.74,0,1,433,Germany,Male,SILVER,0
747,34,10,0.0,2,1,1,50759.8,0,3,740,France,Female,GOLD,0
671,47,7,114603.76,2,1,0,153194.32,1,4,499,Germany,Female,SILVER,1
602,43,2,113641.49,4,1,0,115116.35,1,2,679,Germany,Female,GOLD,1
464,33,10,147493.7,2,1,0,100447.53,0,4,801,France,Female,DIAMOND,0
724,35,0,171982.95,2,0,1,167313.07,0,2,745,Germany,Female,GOLD,0
607,31,1,102523.88,1,1,1,166792.71,0,2,492,France,Female,GOLD,0
694,58,1,143212.22,1,0,0,102628.56,1,4,323,Germany,Female,DIAMOND,1
463,35,2,101257.16,1,1,1,118113.64,0,4,900,France,Male,PLATINUM,0
599,34,2,101506.66,1,0,0,198030.24,0,3,447,Spain,Male,PLATINUM,0
405,31,5,133299.67,2,1,1,72950.14,0,3,634,Germany,Male,SILVER,0
746,36,9,127157.04,1,1,1,155700.15,0,3,948,France,Male,SILVER,0
693,31,1,0.0,2,0,1,182270.88,0,1,304,France,Male,SILVER,0
619,40,10,0.0,1,1,1,147093.84,1,3,298,France,Female,DIAMOND,1
538,28,6,164365.44,1,0,1,5698.97,0,4,659,Germany,Female,DIAMOND,0
541,46,6,0.0,2,1,1,83456.67,0,1,596,France,Male,GOLD,0
644,54,6,0.0,1,0,1,84622.37,0,5,313,Spain,Male,GOLD,0
